,a,b
0,The son that conceals a computer loves that some mentor passes each mall,A son that conceals the computer loves that some mentor passes each mall
1,The son loves that some mentor that conceals a computer passes each mall,A son loves that some mentor that conceals the computer passes each mall
2,That guy who wasn't helping the pedestrian didn't pray that that brochure isn't helping a school,That guy who wasn't helping a pedestrian didn't pray that that brochure isn't helping the school
3,That guy didn't pray that that brochure who wasn't helping the pedestrian isn't helping a school,That guy didn't pray that that brochure who wasn't helping a pedestrian isn't helping the school
4,The girl that freezes a lake expected that some colleague admires each doctor,A girl that freezes the lake expected that some colleague admires each doctor
5,The girl expected that some colleague that freezes a lake admires each doctor,A girl expected that some colleague that freezes the lake admires each doctor
6,The mentor who hadn't listened to every brother writes that some tutor fled from a niece,A mentor who hadn't listened to every brother writes that some tutor fled from the niece
7,That mentor writes that some tutor that hadn't listened to the brother fled from a niece,That mentor writes that some tutor that hadn't listened to a brother fled from the niece
8,The partner that wasn't underwhelming a man asserted that this wife isn't attacking each waitress,A partner that wasn't underwhelming the man asserted that this wife isn't attacking each waitress
9,Every partner asserted that this wife who wasn't underwhelming the man isn't attacking a waitress,Every partner asserted that this wife who wasn't underwhelming a man isn't attacking the waitress
10,The son that is approaching a senator speculates that each child is spending each donation,A son that is approaching the senator speculates that each child is spending each donation
11,The son speculates that each child who is approaching a senator is spending each donation,A son speculates that each child who is approaching the senator is spending each donation
12,The dentist who distracts every spouse has concealed that some check upsets a nephew,A dentist who distracts every spouse has concealed that some check upsets the nephew
13,Every dentist has concealed that the check who distracts a spouse upsets some nephew,Every dentist has concealed that a check who distracts the spouse upsets some nephew
14,The lady that brought no rug claims that this contractor hadn't embarrassed a granddaughter,A lady that brought no rug claims that this contractor hadn't embarrassed the granddaughter
15,The lady claims that this contractor that brought a rug hadn't embarrassed no granddaughter,A lady claims that this contractor that brought the rug hadn't embarrassed no granddaughter
16,Some podiatrist who had known the nephew insists that each student wasn't describing a restaurant,Some podiatrist who had known a nephew insists that each student wasn't describing the restaurant
17,The podiatrist insists that each student who had known a nephew wasn't describing that restaurant,A podiatrist insists that each student who had known the nephew wasn't describing that restaurant
18,The hairdresser who shot a guest asserts that this French teacher wasn't admiring every dress,A hairdresser who shot the guest asserts that this French teacher wasn't admiring every dress
19,No hairdresser asserts that the French teacher who shot a guest wasn't admiring every dress,No hairdresser asserts that a French teacher who shot the guest wasn't admiring every dress
20,The son who wasn't lighting a projector did like that that doctor boasted about some teacher,A son who wasn't lighting the projector did like that that doctor boasted about some teacher
21,The son did like that that doctor that wasn't lighting a projector boasted about some teacher,A son did like that that doctor that wasn't lighting the projector boasted about some teacher
22,The mentor who made some window hadn't regretted that this patient disgusted a woman,A mentor who made some window hadn't regretted that this patient disgusted the woman
23,Each mentor hadn't regretted that this patient that made the window disgusted a woman,Each mentor hadn't regretted that this patient that made a window disgusted the woman
24,The man that holds a dish hadn't speculated that every mother admired some species,A man that holds the dish hadn't speculated that every mother admired some species
25,Some man hadn't speculated that the mother that holds a dish admired some species,Some man hadn't speculated that a mother that holds the dish admired some species
26,The granddaughter who hadn't bent every screen forgets that that senator has ascended a hill,A granddaughter who hadn't bent every screen forgets that that senator has ascended the hill
27,Some granddaughter forgets that that senator that hadn't bent the screen has ascended a hill,Some granddaughter forgets that that senator that hadn't bent a screen has ascended the hill
28,The grandmother that examined a wife hasn't hoped that some child taught that tutor,A grandmother that examined the wife hasn't hoped that some child taught that tutor
29,No grandmother hasn't hoped that the child that examined a wife taught that tutor,No grandmother hasn't hoped that a child that examined the wife taught that tutor
30,The student that had disturbed a mentor hasn't explained that this guest doesn't think about no print,A student that had disturbed the mentor hasn't explained that this guest doesn't think about no print
31,Every student hasn't explained that this guest who had disturbed the mentor doesn't think about a print,Every student hasn't explained that this guest who had disturbed a mentor doesn't think about the print
32,The brother who concealed every check hasn't regretted that every guy heals a child,A brother who concealed every check hasn't regretted that every guy heals the child
33,No brother hasn't regretted that the guy that concealed a check heals this child,No brother hasn't regretted that a guy that concealed the check heals this child
34,Some brother who hadn't swept the room wasn't disliking that this doctor was disagreeing with a synopsis,Some brother who hadn't swept a room wasn't disliking that this doctor was disagreeing with the synopsis
