,a,b
0,These Ladies That Described Many Movie Theaters Expect That the Waiters Have Discovered That Mirror,These ladies that described many movie theaters expect that the waiters have discovered that mirror
1,These Ladies Expect That the Waiters That Described Many Movie Theaters Have Discovered That Mirror,These ladies expect that the waiters that described many movie theaters have discovered that mirror
2,All Waiters Who Might Disgust Most Teachers Did Suggest That Carts Weren't Harming Those Companies,All waiters who might disgust most teachers did suggest that carts weren't harming those companies
3,All Waiters Did Suggest That Carts That Might Disgust Most Teachers Weren't Harming Those Companies,All waiters did suggest that carts that might disgust most teachers weren't harming those companies
4,That Cashier That Hindered the Ladies Wasn't Praying That the Mouse Resembles a Lot of Prints,That cashier that hindered the ladies wasn't praying that the mouse resembles a lot of prints
5,That Cashier Wasn't Praying That the Mouse That Hindered the Ladies Resembles a Lot of Prints,That cashier wasn't praying that the mouse that hindered the ladies resembles a lot of prints
6,An Alumnus Who Admired This Screen Isn't Shouting That the Lady Drives to Some Banks,An alumnus who admired this screen isn't shouting that the lady drives to some banks
7,An Alumnus Isn't Shouting That the Lady That Admired This Screen Drives to Some Banks,An alumnus isn't shouting that the lady that admired this screen drives to some banks
8,Many Girls That Irritated the Women Aren't Whispering That Every Student Couldn't Forget Many Essays,Many girls that irritated the women aren't whispering that every student couldn't forget many essays
9,Many Girls Aren't Whispering That Every Student Who Irritated the Women Couldn't Forget Many Essays,Many girls aren't whispering that every student who irritated the women couldn't forget many essays
10,Those Students Who Had Hindered This Bank Hate That Most Restaurants Distract That Association,Those students who had hindered this bank hate that most restaurants distract that association
11,Those Students Hate That Most Restaurants That Had Hindered This Bank Distract That Association,Those students hate that most restaurants that had hindered this bank distract that association
12,Many Doctors Who Noticed Those Sheep Aren't Admitting That the Doctor Should Reference Every Waitress,Many doctors who noticed those sheep aren't admitting that the doctor should reference every waitress
13,Many Doctors Aren't Admitting That the Doctor That Noticed Those Sheep Should Reference Every Waitress,Many doctors aren't admitting that the doctor that noticed those sheep should reference every waitress
14,This Man Who Distracted All Women Finds Out That That Means Will Aggravate That Doctor,This man who distracted all women finds out that that means will aggravate that doctor
15,This Man Finds Out That That Means Who Distracted All Women Will Aggravate That Doctor,This man finds out that that means who distracted all women will aggravate that doctor
16,That Pedestrian That Did Distract Cashiers Didn't Claim That the Window Impressed All Legislatures,That pedestrian that did distract cashiers didn't claim that the window impressed all legislatures
17,That Pedestrian Didn't Claim That the Window Who Did Distract Cashiers Impressed All Legislatures,That pedestrian didn't claim that the window who did distract cashiers impressed all legislatures
18,Every Actress That Explored Some River Would Remember That Those Boys Astound Some Bank,Every actress that explored some river would remember that those boys astound some bank
19,Every Actress Would Remember That Those Boys That Explored Some River Astound Some Bank,Every actress would remember that those boys that explored some river astound some bank
20,This Waitress That Bothers a Committee Doubted That This Mall Underwhelm Some Waiters,This waitress that bothers a committee doubted that this mall underwhelm some waiters
21,This Waitress Doubted That This Mall That Bothers a Committee Underwhelm Some Waiters,This waitress doubted that this mall that bothers a committee underwhelm some waiters
22,The Waitresses That Have Every Gate Could Admit That Most Teenagers Lose Some Art Gallery,The waitresses that have every gate could admit that most teenagers lose some art gallery
23,The Waitresses Could Admit That Most Teenagers That Have Every Gate Lose Some Art Gallery,The waitresses could admit that most teenagers that have every gate lose some art gallery
24,Many Teenagers That Investigate Many Cashiers Weren't Shouting That Most Drivers Had Healed Every Ox,Many teenagers that investigate many cashiers weren't shouting that most drivers had healed every ox
25,Many Teenagers Weren't Shouting That Most Drivers That Investigate Many Cashiers Had Healed Every Ox,Many teenagers weren't shouting that most drivers that investigate many cashiers had healed every ox
26,Cashiers Who Respect Many Public Parks Don't Explain That a Lot of Students Didn't Destroy the Skateboards,Cashiers who respect many public parks don't explain that a lot of students didn't destroy the skateboards
27,Cashiers Don't Explain That a Lot of Students That Respect Many Public Parks Didn't Destroy the Skateboards,Cashiers don't explain that a lot of students that respect many public parks didn't destroy the skateboards
28,A Child Who Passed Every Glacier Explained That This Teenager Wasn't Fleeing From the Ladies,A child who passed every glacier explained that this teenager wasn't fleeing from the ladies
29,A Child Explained That This Teenager That Passed Every Glacier Wasn't Fleeing From the Ladies,A child explained that this teenager that passed every glacier wasn't fleeing from the ladies
30,That Customer That Observed a Lot of Waitresses Does Demonstrate That Some Doctor Hadn't Dropped by Every School,That customer that observed a lot of waitresses does demonstrate that some doctor hadn't dropped by every school
