,pair_ID,a,b,ambiguous,template
0,0,She has tried to transfer the ticket the guard was setting aside for her friend.,Has she tried to transfer the ticket the guard was setting aside for her friend?,True,1_RC_ambig_2
1,1,She has tried to transfer the ticket the ticket booth was reserving for her.,Has she tried to transfer the ticket the ticket booth was reserving for her?,True,1_RC_ambig_2
2,2,She has tried to transfer the ticket the ticket booth was setting aside for her friend.,Has she tried to transfer the ticket the ticket booth was setting aside for her friend?,True,1_RC_ambig_2
3,3,She has forgotten to pick up the admission bracelet the guard was setting aside for her.,Has she forgotten to pick up the admission bracelet the guard was setting aside for her?,True,1_RC_ambig_2
4,4,She has tried to transfer the admission bracelet the guard was reserving for her.,Has she tried to transfer the admission bracelet the guard was reserving for her?,True,1_RC_ambig_2
5,5,She has tried to transfer the ticket the guard was reserving for her friend.,Has she tried to transfer the ticket the guard was reserving for her friend?,True,1_RC_ambig_2
6,6,She has claimed the admission bracelet the guard was setting aside for her friend.,Has she claimed the admission bracelet the guard was setting aside for her friend?,True,1_RC_ambig_2
7,7,She has forgotten to pick up the ticket the guard was saving for her.,Has she forgotten to pick up the ticket the guard was saving for her?,True,1_RC_ambig_2
8,8,She has claimed the admission bracelet the box office was reserving for her friend.,Has she claimed the admission bracelet the box office was reserving for her friend?,True,1_RC_ambig_2
9,9,She has claimed the admission bracelet the ticket booth was saving for her.,Has she claimed the admission bracelet the ticket booth was saving for her?,True,1_RC_ambig_2
10,10,She has claimed the admission bracelet the guard was setting aside for her.,Has she claimed the admission bracelet the guard was setting aside for her?,True,1_RC_ambig_2
11,11,She has forgotten to pick up the ticket the box office was setting aside for her.,Has she forgotten to pick up the ticket the box office was setting aside for her?,True,1_RC_ambig_2
12,12,She has forgotten to pick up the admission bracelet the guard was saving for her friend.,Has she forgotten to pick up the admission bracelet the guard was saving for her friend?,True,1_RC_ambig_2
13,13,She has claimed the admission bracelet the guard was saving for her.,Has she claimed the admission bracelet the guard was saving for her?,True,1_RC_ambig_2
14,14,She has forgotten to pick up the ticket the box office was reserving for her.,Has she forgotten to pick up the ticket the box office was reserving for her?,True,1_RC_ambig_2
15,15,She has forgotten to pick up the admission bracelet the ticket booth was setting aside for her friend.,Has she forgotten to pick up the admission bracelet the ticket booth was setting aside for her friend?,True,1_RC_ambig_2
16,16,She has claimed the admission bracelet the ticket booth was setting aside for her.,Has she claimed the admission bracelet the ticket booth was setting aside for her?,True,1_RC_ambig_2
17,17,She has claimed the ticket the box office was reserving for her friend.,Has she claimed the ticket the box office was reserving for her friend?,True,1_RC_ambig_2
18,18,She has tried to transfer the admission bracelet the box office was setting aside for her.,Has she tried to transfer the admission bracelet the box office was setting aside for her?,True,1_RC_ambig_2
19,19,She has claimed the admission bracelet the guard was reserving for her.,Has she claimed the admission bracelet the guard was reserving for her?,True,1_RC_ambig_2
20,20,She has tried to transfer the ticket the guard was saving for her friend.,Has she tried to transfer the ticket the guard was saving for her friend?,True,1_RC_ambig_2
21,21,She has tried to transfer the admission bracelet the box office was saving for her friend.,Has she tried to transfer the admission bracelet the box office was saving for her friend?,True,1_RC_ambig_2
22,22,She has tried to transfer the admission bracelet the guard was setting aside for her friend.,Has she tried to transfer the admission bracelet the guard was setting aside for her friend?,True,1_RC_ambig_2
23,23,She has tried to transfer the ticket the box office was setting aside for her friend.,Has she tried to transfer the ticket the box office was setting aside for her friend?,True,1_RC_ambig_2
24,24,She has claimed the admission bracelet the guard was saving for her friend.,Has she claimed the admission bracelet the guard was saving for her friend?,True,1_RC_ambig_2
25,25,She has claimed the ticket the ticket booth was reserving for her friend.,Has she claimed the ticket the ticket booth was reserving for her friend?,True,1_RC_ambig_2
26,26,She has claimed the admission bracelet the box office was setting aside for her friend.,Has she claimed the admission bracelet the box office was setting aside for her friend?,True,1_RC_ambig_2
27,27,She has forgotten to pick up the admission bracelet the ticket booth was saving for her friend.,Has she forgotten to pick up the admission bracelet the ticket booth was saving for her friend?,True,1_RC_ambig_2
28,28,She has claimed the ticket the ticket booth was saving for her.,Has she claimed the ticket the ticket booth was saving for her?,True,1_RC_ambig_2
29,29,She has forgotten to pick up the admission bracelet the box office was setting aside for her friend.,Has she forgotten to pick up the admission bracelet the box office was setting aside for her friend?,True,1_RC_ambig_2
30,30,She has forgotten to pick up the admission bracelet the box office was reserving for her.,Has she forgotten to pick up the admission bracelet the box office was reserving for her?,True,1_RC_ambig_2
31,31,She has claimed the ticket the box office was saving for her.,Has she claimed the ticket the box office was saving for her?,True,1_RC_ambig_2
32,32,She has claimed the ticket the ticket booth was setting aside for her.,Has she claimed the ticket the ticket booth was setting aside for her?,True,1_RC_ambig_2
33,33,She has tried to transfer the ticket the guard was setting aside for her.,Has she tried to transfer the ticket the guard was setting aside for her?,True,1_RC_ambig_2
34,34,She has forgotten to pick up the ticket the ticket booth was saving for her friend.,Has she forgotten to pick up the ticket the ticket booth was saving for her friend?,True,1_RC_ambig_2
35,35,She has claimed the admission bracelet the ticket booth was setting aside for her friend.,Has she claimed the admission bracelet the ticket booth was setting aside for her friend?,True,1_RC_ambig_2
36,36,She has forgotten to pick up the ticket the box office was saving for her.,Has she forgotten to pick up the ticket the box office was saving for her?,True,1_RC_ambig_2
37,37,She has tried to transfer the ticket the guard was reserving for her.,Has she tried to transfer the ticket the guard was reserving for her?,True,1_RC_ambig_2
38,38,She has claimed the ticket the guard was setting aside for her friend.,Has she claimed the ticket the guard was setting aside for her friend?,True,1_RC_ambig_2
39,39,She has tried to transfer the ticket the ticket booth was reserving for her friend.,Has she tried to transfer the ticket the ticket booth was reserving for her friend?,True,1_RC_ambig_2
40,40,She has forgotten to pick up the ticket the guard was setting aside for her friend.,Has she forgotten to pick up the ticket the guard was setting aside for her friend?,True,1_RC_ambig_2
41,41,She has claimed the admission bracelet the ticket booth was reserving for her friend.,Has she claimed the admission bracelet the ticket booth was reserving for her friend?,True,1_RC_ambig_2
42,42,She has claimed the ticket the box office was saving for her friend.,Has she claimed the ticket the box office was saving for her friend?,True,1_RC_ambig_2
